loan_id,P3v3,P4v3,anchor_v3,day_v3,multi_v3,batch_v3
B170419-3,2,1,,,,26
B170423-2,2,4,,,,26
B170429-1,2,1,,,,26
B170506-2,2,1,,,,26
B170508-2,1,1,,,,26
B170522-2,2,1,,,,26
B170525-2,4,1,income,17.0,False,26
B170525-3,1,1,,,,27
B170605-10,1,1,,,,27
B170605-7,1,1,,,,27
B170613-5,1,1,,,,27
B170619-1,1,1,,,,27
B170621-1,3,1,,,,27
B170626-4,1,1,,,,27
B170705-8,1,1,,,,27
B170711-2,3,3,,,,27
B170731-2,1,1,,,,27
B170807-4,1,2,,,,27
B170817-3,1,2,,,,27
B170905-1,1,1,,,,27
B170911-2,1,1,,,,27
B170918-5,3,1,,,,27
B171010-4,1,1,,,,27
B171020-1,2,1,,,,27
B171021-3,1,1,,,,27
B171024-1,1,1,,,,27
B171121-2,2,1,,,,27
B171129-5,1,1,,,,27
B171216-2,1,2,,,,27
B171220-2,3,1,,,,27
B171227-5,2,1,,,,27
B180109-1,1,1,,,,27
B180322-1,2,1,,,,27
B180327-2,2,2,,,,27
B180404-1,1,1,,,,27
B180409-2,3,2,,,,27
B180418-1,1,1,,,,27
B180419-1,1,1,,,,27
B180518-2,4,1,income,,False,27
B180530-4,2,2,,,,27
B180608-1,1,2,,,,27
B180620-1,1,1,,,,27
B180627-4,1,1,,,,27
B180710-2,1,1,,,,27
B180712-1,1,1,,,,27
B180730-4,1,1,,,,27
B180807-1,2,2,,,,27
B180816-2,2,1,,,,27
B180824-3,1,1,,,,27
B180827-1,1,1,,,,27
B180829-5,2,1,,,,27
B180831-3,1,1,,,,27
B180904-10,1,1,,,,27
B180907-1,1,3,,,,27
B180910-2,1,3,,,,27
B180914-1,3,1,,,,27
B180920-4,1,1,,,,27
B180928-5,2,1,,,,27
B181004-2,1,1,,,,27
B181015-4,1,1,,,,27
B181018-1,2,1,,,,27
B181023-8,1,3,,,,27
B181025-5,3,1,,,,27
B181105-1,1,1,,,,27
B181108-5,1,1,,,,27
B181113-11,1,1,,,,27
B181127-1,1,1,,,,27
B181128-2,1,1,,,,27
B181130-1,4,1,income,,False,27
B181205-3,4,1,income,17.0,False,27
B181211-1,1,1,,,,27
B181224-2,1,1,,,,27
B181226-6,1,2,,,,27
B181227-1,1,1,,,,27
B190102-3,4,5,income,25.0,False,27
B190103-5,1,2,,,,27
B190113-1,3,2,,,,27
B190115-2,2,1,,,,28
B190211-2,3,2,,,,28
B190221-20,1,1,,,,28
B190224-2,2,1,,,,28
B190225-2,3,1,,,,28
B190304-4,1,1,,,,28
B190311-2,1,1,,,,28
B190324-1,3,1,,,,28
B190326-1,2,1,,,,28
B190329-3,1,1,,,,28
B190420-2,3,1,,,,28
B190501-2,3,1,,,,28
B190508-5,1,1,,,,28
B190515-2,1,1,,,,28
B190523-3,1,1,,,,28
B190529-5,1,1,,,,28
B190607-1,1,1,,,,28
B190701-3,1,1,,,,28
B190718-2,1,1,,,,28
B190719-4,4,1,event,,False,28
B190725-1,5,1,income,15.0,True,28
B190826-1,1,1,,,,28
B190830-7,3,1,,,,28
B190903-3,1,2,,,,28
B190905-6,4,1,calendar,,False,28
B190909-12,1,1,,,,28
B190920-1,1,2,,,,28
B191014-3,4,2,event,,False,28
B191015-3,1,1,,,,28
B191023-3,2,1,,,,28
B191025-1,2,1,,,,28
B191031-2,1,2,,,,28
B191103-1,1,1,,,,28
B191114-2,1,2,,,,28
B191118-3,4,1,income,,False,28
B191127-3,1,1,,,,28
B191205-1,1,2,,,,28
B191207-4,1,1,,,,28
B191215-1,1,1,,,,28
B191219-7,1,1,,,,28
